Energy (keV);Stopping Power (MeV·cm²/g);Dose (kGy)
1481.5;78.00242093292172;163.80508395913563
1481.0;78.01743505240033;163.8366136100407
1480.5;78.03245665050903;163.86815896606896
1480.0;78.0474857337323;163.89972004083785
1479.5;78.06252230856286;163.93129684798205
1479.0;78.07756638150165;163.9628894011535
1478.5;78.09261795905785;163.9944977140215
1478.0;78.10767704774884;164.02612180027256
1477.5;78.12274365410023;164.0577616736105
1477.0;78.137817784646;164.0894173477566
1476.5;78.15289944592833;164.1210888364495
1476.0;78.1679886444977;164.1527761534452
1475.5;78.18308538691296;164.18447931251725
1475.0;78.19818967974122;164.21619832745657
1474.5;78.21330152955791;164.24793321207162
1474.0;78.22842094294693;164.27968398018854
1473.5;78.24354792650037;164.31145064565078
1473.0;78.25868248681884;164.34323322231958
1472.5;78.27382463051131;164.37503172407378
1472.0;78.28897436419514;164.4068461648098
1471.5;78.30413169449604;164.4386765584417
1471.0;78.31929662804826;164.47052291890137
1470.5;78.33446917149449;164.50238526013842
1470.0;78.34964933148582;164.53426359612024
1469.5;78.36483711468183;164.56615794083189
1469.0;78.38003252775064;164.59806830827637
1468.5;78.39523557736882;164.6299947124745
1468.0;78.4104462702215;164.66193716746514
1467.5;78.42566461300227;164.69389568730477
1467.0;78.44089061241336;164.72587028606804
1466.5;78.45612427516551;164.75786097784757
1466.0;78.47136560797799;164.7898677767538
1465.5;78.48661461757875;164.8218906969154
1465.0;78.50187131070432;164.85392975247908
1464.5;78.51713569409979;164.8859849576096
1464.0;78.5324077745189;164.9180563264897
1463.5;78.5476875587241;164.95014387332063
1463.0;78.56297505348645;164.98224761232157
1462.5;78.5782702655857;165.01436755772997
1462.0;78.59357320181022;165.04650372380146
1461.5;78.60888386895721;165.07865612481012
1461.0;78.62420227383241;165.11082477504806
1460.5;78.63952842325054;165.14300968882614
1460.0;78.65486232403482;165.17521088047314
1459.5;78.67020398301742;165.20742836433658
1459.0;78.68555340703914;165.23966215478222
1458.5;78.70091060294968;165.27191226619433
1458.0;78.7162755776075;165.30417871297576
1457.5;78.73164833787985;165.3364615095477
1457.0;78.74702889064287;165.36876067035
1456.5;78.76241724278151;165.4010762098412
1456.0;78.77781340118962;165.4334081424982
1455.5;78.79321737276993;165.46575648281686
1455.0;78.80862916443398;165.49812124531138
1454.5;78.82404878310231;165.5305024445149
1454.0;78.8394762357044;165.56290009497923
1453.5;78.85491152917854;165.59531421127494
1453.0;78.87035467047215;165.62774480799152
1452.5;78.88580566654147;165.6601918997371
1452.0;78.9012645243518;165.6926555011388
1451.5;78.9167312508774;165.72513562684256
1451.0;78.93220585310159;165.75763229151335
1450.5;78.94768833801669;165.79014550983504
1450.0;78.96317871262401;165.82267529651043
1449.5;78.97867698393404;165.85522166626149
1449.0;78.99418315896627;165.88778463382914
1448.5;79.00969724474926;165.92036421397347
1448.0;79.02521924832071;165.95296042147348
1447.5;79.04074917672746;165.9855732711277
1447.0;79.05628703702544;166.01820277775343
1446.5;79.07183283627975;166.05084895618748
1446.0;79.08738658156463;166.08351182128573
1445.5;79.1029482799636;166.11619138792358
1445.0;79.11851793856924;166.14888767099544
1444.5;79.13409556448342;166.1816006854152
1444.0;79.14968116481722;166.21433044611618
1443.5;79.16527474669101;166.24707696805112
1443.0;79.18087631723434;166.2798402661921
1442.5;79.19648588358605;166.3126203555307
1442.0;79.21210345289435;166.34541725107815
1441.5;79.22772903231666;166.37823096786497
1441.0;79.24336262901977;166.41106152094153
