Depth (µm);Stopping Power (MeV·cm²/g);Dose (kGy)
16.486090346734766;53.14160461222242;111.59736968566709
16.533129307494303;53.14743267352649;111.60960861440563
16.580163109255643;53.15326225775588;111.62185074128736
16.627191751802428;53.15909336555867;111.63409606767321
16.674215234918226;53.16492599758337;111.64634459492508
16.72123355838655;53.17076015447884;111.65859632440558
16.76824672199086;53.17659583689436;111.67085125747815
16.815254725514542;53.182433045479556;111.68310939550707
16.86225756874094;53.18827178088452;111.6953707398575
16.909255251453335;53.19411204375966;111.70763529189529
16.956247773434935;53.19995383475584;111.71990305298726
17.00323513446891;53.20579715452428;111.73217402450099
17.050217334338356;53.2116420037166;111.74444820780487
17.097194372826316;53.217488382984804;111.7567256042681
17.14416624971577;53.22333629298134;111.76900621526082
17.191132964789645;53.229185734358964;111.78129004215384
17.238094517830802;53.23503670777092;111.79357708631892
17.28505090862205;53.24088921387077;111.80586734912863
17.332002136946134;53.24674325331252;111.8181608319563
17.378948202585732;53.25259882675057;111.83045753617621
17.42588910532348;53.25845593483964;111.84275746316324
17.472824844941947;53.26431457823498;111.85506061429346
17.519755421223635;53.27017475759213;111.86736699094348
17.566680833950993;53.27603647356709;111.87967659449089
17.613601082906417;53.281899726816164;111.89198942631394
17.660516167872228;53.28776451799616;111.90430548779194
17.707426088630704;53.29363084776425;111.91662478030491
17.75433084496405;53.29949871677798;111.92894730523378
17.801230436654418;53.305368125695296;111.94127306396014
17.848124863483907;53.311239075174576;111.95360205786662
17.89501412523454;53.31711156587458;111.96593428833663
17.94189822168829;53.32298559845447;111.9782697567544
17.988777152627076;53.32886117357378;111.99060846450494
18.035650917832747;53.33473829189247;112.0029504129742
18.082519517087093;53.34061695407092;112.01529560354894
18.129382950171852;53.34649716076985;112.0276440376167
18.176241216868693;53.352378912650465;112.03999571656597
18.223094316959237;53.358262210374264;112.05235064178596
18.26994225022503;53.364147054603265;112.06470881466687
18.316785016447568;53.37003344599981;112.07707023659961
18.363622615408286;53.375921385226654;112.08943490897597
18.410455046888554;53.381810872947;112.1018028331887
18.457282310669694;53.387701909824344;112.11417401063113
18.504104406532946;53.39359449652275;112.1265484426978
18.550921334259517;53.39948863370654;112.13892613078374
18.597733093630534;53.405384322040526;112.15130707628511
18.64453968442707;53.41128156218986;112.16369128059873
18.691341106430137;53.41718035482018;112.17607874512237
18.73813735942069;53.423080700597424;112.1884694712546
18.784928443179627;53.42898260018803;112.20086346039486
18.83171435748777;53.43488605425881;112.2132607139435
18.878495102125896;53.440791063476944;112.22566123330158
18.925270676874717;53.44669762851006;112.23806501987114
18.972041081514885;53.452605750026194;112.25047207505501
19.018806315826986;53.45851542869378;112.26288240025693
19.065566379591555;53.46442666518163;112.27529599688143
19.112321272589057;53.470339460159025;112.28771286633395
19.159070994599908;53.47625381429559;112.30013301002074
19.205815545404455;53.48216972826139;112.31255642934893
19.25255492478298;53.48808720272691;112.3249831257265
19.29928913251572;53.49400623836301;112.33741310056233
19.346018168382834;53.499926835840974;112.34984635526605
19.39274203216443;53.50584899583253;112.36228289124833
19.439460723640558;53.51177271900977;112.37472270992052
19.486174242591197;53.51769800604519;112.3871658126949
19.532882588796273;53.52362485761175;112.39961220098469
19.579585762035656;53.52955327438277;112.41206187620382
19.626283762089134;53.53548325703199;112.42451483976718
19.67297658873646;53.54141480623358;112.43697109309053
19.719664241757307;53.54734792266214;112.4494306375905
